email	sites	exclusions	template	subject_line	header	copy	asset_design	voucher	valid_to	voucher_banner	qr_code	sign_off_copy	terms_and_conditions	voucher_instruction
Birthday -1 week	All branded bars	All Scottish sites		Save 10% on the perfect package and VIP booth for your birthday celebration	There's no party like a $dynamic2$ party	"##Hi $forename$,##
##We sent you a voucher for free birthday Woo Woo cocktail a couple of weeks ago.##
##Hope you enjoyed it!##
##If your still wondering how to celebrate, then we can help with birthday packages to make your night go with a bang!##
##Save 10% when you book your party with us*.##"	Design up the voucher with Save 10% when you book your party with us. (Minimum spend £100).	Save 10% when you book your party with us.	Plus 2 weeks post the birthdate		PROMOCODE	"##Click here to book one of our great value packages.##
##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Your best ever party for less!##
##The $dynamic1$ team.##"	"Over 18's only. Minimum spend £100. Offer not available in Scotland. Offer must be redeemed within 2 weeks of your birthdate.
Offer is subject to availability. Management reserves the right to remove this offer at any time."	"Simply present your voucher on your phone, or quote your unique promo code, to claim your free Birthday Woo Woo."
Auto Welcome - Immediate	All branded bars	All Scottish sites		Starting today - Great News from $dynamic1$!	Thanks for signing up!	"##Hi $forename$,##
##Thanks for signing up to receive news of our events, offers and promotions.##
##Look out for a range of free drinks, birthday treats and booking discounts coming your way soon!##"						"##Enjoy!##
##The $dynamic1$ team.##"		
Welcome 1 + 1 Day	All branded bars	All Scottish sites		Your Free Glass Of Fizz   awaits @ $dynamic1$!	Free Glass Of Fizz  !	"##Hi $forename$,##
##As promised  - here's a little something to get the party started.##
##Come and see us in the next 14 days and claim your Free Glass Of Fizz !##"	Design up the voucher with Your Free Glass Of Fizz  awaits!	Free Glass Of Fizz  	Dynamic - 14 days after date of send	prosecco	PROMOCODE	"##Come see us again soon!##
##The $dynamic1$ team##"	"Only one voucher per customer. Over 18's only. Offer not available in Scotland. Offer must be redeemed within 14 days of receipt.
Offer is subject to availability, there is no cash alternative, and Management reserves the right to remove this offer at any time."	"Simply present your voucher on your phone, or quote your unique promo code, to claim your Free Glass Of Fizz ."
Welcome 2 + 7 Days	All branded bars	All Scottish sites		Have you claimed your Free Glass Of Fizz   @ $dynamic1$ yet?	Claimed your free fizz  yet?	"##Hi $forename$,##
##Don't forget - you've got just seven nights left to redeem the ""free fizz"" voucher we sent you last week.##
##Simply show your voucher at the bar, or quote your unique promo code.##
##Having a party? ##
##Find out how we can make it your best ever.##
Look out for more great offers coming your way!"				prosecco		"##Come party again soon.##
##Enjoy!##
##The $dynamic1$ team##"		
Welcome 3 + 21 Days	All branded bars	All Scottish sites		Your best ever party for less @ $dynamic1$	There's no party like a $dynamic2$ party	"##Hi $forename$,##
##Planning a party? There's no party like a $dynamic2$ party. ##
##And here's our latest deal for you!##
##Save 10% when you book your party with us*.##"		##Save 10% when you book your party with us.##	Dynamic - 3 months from date of send			"##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Or click here to book one of our great value packages.##
##Your best ever party for less!##
##The $dynamic1$ team##"	"Terms and conditions: Over 18's only. Minimum spend £100. Offer not available in Scotland. Offer must be redeemed within 3 months of receipt.
Offer is subject to availability. Management reserves the right to remove this offer at any time."	Simply quote your unique promo code when you contact us to claim your 10% party discount.
Auto Welcome  - Immediate (Scot)	Scottish branded bars only			Thanks for signing up!	Thanks for signing up!	"##Hi $forename$,##
##Thanks for signing up to receive news of our events, offers and promotions.##
##Look out for a range of free drinks, birthday treats and booking discounts coming your way soon!##"								
Welcome 1 + 1 Day (Scot)	Scottish branded bars only			Your best ever party for less @ $dynamic1$	Save 10% when you book your party with us.	"##Hi $forename$,##
##As promised  - here's a little something to get the party started.##
##And there's no party like a $dynamic2$ party.##
##GET THE PARTY STARTED## "		Save 10% when you book your party with us.	Dynamic - 3 months from date of send			"##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Or click here to book one of our great value packages.##
##Your best ever party for less!##
##The $dynamic1$ team.##"	"Terms and conditions: Over 18's only. Minimum spend £100. Offer must be redeemed within 3 months of receipt.
Offer is subject to availability. Management reserves the right to remove this offer at any time."	Save 10% when you book your party with us. Simply quote your unique voucher code when you contact us to claim your 10% party discount.
Welcome 2 + 7 Days (Scot)	Scottish branded bars only			Save 10% on the best party ever @ $dynamic1$	Save 10% when you book your party with us.	"##Hi $forename$,##
##Just a reminder - you can get 10% off party bookings##
##at $dynamic2$.## "		Save 10% when you book your party with us.	Dynamic - 3 months from date of send			"##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Or click here to book one of our great value packages.##
##Your best ever party for less!##
##The $dynamic1$ team.##"	"Terms and conditions: Over 18's only. Minimum spend £100. Offer must be redeemed within 3 months of receipt.
Offer is subject to availability. Management reserves the right to remove this offer at any time."	Save 10% when you book your party with us. Simply quote your unique voucher code when you contact us to claim your 10% party discount.
Welcome 3 + 21 Days (Scot)	Scottish branded bars only			Still not to late - Save 10% on the best party ever @ $dynamic1$	Save 10% when you book your party with us.	"##Hi $forename$,##
##Birthday, big night out, or just because…##
##We don’t want you to miss out!##
##CLAIM YOUR 10% SAVING NOW##"		Save 10% when you book your party with us.	Dynamic - 3 months from date of send			"
##Call us, or pop in and see us, to find out how we can make it the perfect party for you.##
##Or click here to book one of our great value packages.##
##Your best ever party for less!##
##The $dynamic1$ team.##"	"Terms and conditions: Over 18's only. Minimum spend £100. Offer must be redeemed within 3 months of receipt.
Offer is subject to availability. Management reserves the right to remove this offer at any time."	Save 10% when you book your party with us. Simply quote your unique voucher code when you contact us to claim your 10% party discount.
Empty Belly					Header	Copy goes here		Voucher				Sign off message here	Terms and conditions?	
Ad-Hoc					Header	Copy goes here		Voucher				Sign off message here	Terms and conditions?	
